participant,trial_number,trial_type,collected,collection_order,target_name,generic_target_name,table_number,interactable_type,world_x,world_z,coord_source,distance_to_next,same_table_as_previous
100,0,Feature,TRUE,1,ycup1Table9,NA,9,ycup,-0.27,0.42,partial_data,0.278926514,FALSE
100,0,Feature,TRUE,2,ycup5Table9,NA,9,ycup,-0.54,0.49,partial_data,0.27,TRUE
100,0,Feature,TRUE,3,ycup6Table9,NA,9,ycup,-0.54,0.76,partial_data,0.122065556,TRUE
100,0,Feature,TRUE,4,ycup4Table9,NA,9,ycup,-0.44,0.69,partial_data,0.197230829,TRUE
100,0,Feature,TRUE,5,ycup3Table9,NA,9,ycup,-0.27,0.59,partial_data,0.15,TRUE
100,0,Feature,TRUE,6,ycup2Table9,NA,9,ycup,-0.27,0.74,partial_data,1.100045454,TRUE
100,0,Feature,TRUE,7,ycup4Table10,NA,10,ycup,-0.26,-0.36,partial_data,0.4580393,FALSE
100,0,Feature,TRUE,8,ycup1Table10,NA,10,ycup,-0.53,-0.73,partial_data,0.335261092,TRUE
100,0,Feature,TRUE,9,ycup3Table10,NA,10,ycup,-0.43,-0.41,partial_data,0.122065556,TRUE
100,0,Feature,TRUE,10,ycup5Table10,NA,10,ycup,-0.36,-0.31,partial_data,0.301496269,TRUE
100,0,Feature,TRUE,11,ycup6Table10,NA,10,ycup,-0.33,-0.61,partial_data,0.2,TRUE
100,0,Feature,TRUE,12,ycup2Table10,NA,10,ycup,-0.53,-0.61,partial_data,0.72201108,TRUE
100,0,Feature,TRUE,13,ycup1Table6,NA,6,ycup,-0.9,0.01,partial_data,0.223606798,FALSE
100,0,Feature,TRUE,14,ycup4Table6,NA,6,ycup,-1,0.21,partial_data,0.312409987,TRUE
100,0,Feature,TRUE,15,ycup5Table6,NA,6,ycup,-1.24,0.01,partial_data,0.287923601,TRUE
100,0,Feature,TRUE,16,ycup2Table6,NA,6,ycup,-0.97,-0.09,partial_data,0.2596151,TRUE
100,0,Feature,TRUE,17,ycup3Table6,NA,6,ycup,-0.9,0.16,partial_data,0.4580393,TRUE
100,0,Feature,TRUE,18,ycup6Table6,NA,6,ycup,-1.17,-0.21,partial_data,1.706604817,TRUE
100,0,Feature,TRUE,19,ycup3Table15,NA,15,ycup,0.42,-0.83,partial_data,0.230867928,FALSE
100,0,Feature,TRUE,20,ycup6Table15,NA,15,ycup,0.35,-0.61,partial_data,0.183847763,TRUE
100,0,Feature,TRUE,21,ycup5Table15,NA,15,ycup,0.42,-0.44,partial_data,0.197230829,TRUE
100,0,Feature,TRUE,22,ycup4Table15,NA,15,ycup,0.52,-0.61,partial_data,0.1,TRUE
100,0,Feature,TRUE,23,ycup2Table15,NA,15,ycup,0.52,-0.51,partial_data,0.122065556,TRUE
