person,condition,trial,id,found,item_class,x,y,rt,trial_p
1,cond_conj_A,1,16,1,2,0,0.609,1.17,1
1,cond_conj_A,1,10,2,2,0.024,0.432,1.6,1
1,cond_conj_A,1,4,3,2,0.015,0.227,2.23,1
1,cond_conj_A,1,5,4,2,0.114,0.203,2.7,1
1,cond_conj_A,1,6,5,2,0.285,0.211,3.27,1
1,cond_conj_A,1,11,6,2,0.266,0.42,3.87,1
1,cond_conj_A,1,7,7,2,0.442,0.189,4.6,1
1,cond_conj_A,1,1,8,2,0.253,0,5.4,1
1,cond_conj_A,1,3,9,2,0.627,0.003,6.37,1
1,cond_conj_A,1,8,10,2,0.683,0.218,6.9,1
1,cond_conj_A,1,14,11,2,0.815,0.438,7.53,1
1,cond_conj_A,1,15,12,2,0.925,0.403,8.17,1
1,cond_conj_A,1,20,13,2,0.919,0.814,9.27,1
1,cond_conj_A,1,19,14,2,0.664,0.828,9.94,1
1,cond_conj_A,1,13,15,1,0.62,0.449,11.42,1
1,cond_conj_A,1,12,16,1,0.524,0.39,11.98,1
1,cond_conj_A,1,18,17,1,0.791,0.627,12.77,1
1,cond_conj_A,1,2,18,1,0.41,0,14.37,1
1,cond_conj_A,1,9,19,1,0.929,0.202,15.4,1
1,cond_conj_A,1,17,20,2,0.402,0.648,19.28,1
1,cond_conj_A,2,19,1,2,0.056,0.874,1.14,2
1,cond_conj_A,2,14,2,2,0.15,0.637,1.77,2
1,cond_conj_A,2,8,3,2,0.14,0.461,2.4,2
1,cond_conj_A,2,4,4,2,0,0.264,2.93,2
1,cond_conj_A,2,10,5,2,0.361,0.434,3.6,2
1,cond_conj_A,2,11,6,2,0.496,0.494,4.07,2
1,cond_conj_A,2,15,7,2,0.394,0.631,4.57,2
1,cond_conj_A,2,16,8,2,0.542,0.629,5.03,2
1,cond_conj_A,2,12,9,2,0.774,0.427,5.67,2
1,cond_conj_A,2,13,10,2,0.908,0.396,6.1,2
1,cond_conj_A,2,7,11,2,0.925,0.233,6.63,2
1,cond_conj_A,2,18,12,2,0.92,0.642,7.2,2
1,cond_conj_A,2,3,13,2,0.795,0.025,7.77,2
1,cond_conj_A,2,1,14,2,0.406,0.011,8.83,2
1,cond_conj_A,2,2,15,1,0.664,0,9.75,2
1,cond_conj_A,2,6,16,1,0.789,0.189,10.9,2
1,cond_conj_A,2,17,17,1,0.752,0.654,12.65,2
1,cond_conj_A,2,20,18,2,0.653,0.875,13.43,2
1,cond_conj_A,2,9,19,1,0.221,0.439,14.75,2
1,cond_conj_A,2,5,20,1,0.284,0.227,15.8,2
1,cond_conj_A,3,17,1,2,0.008,0.859,1.07,3
1,cond_conj_A,3,18,2,2,0.208,0.888,1.77,3
1,cond_conj_A,3,19,3,2,0.319,0.877,2.37,3
1,cond_conj_A,3,13,4,2,0.415,0.649,3.04,3
