person,condition,trial,id,found,item_class,x,y,trial_p
1,ycup,1,49,1,2,0.196,0.253,1
1,ycup,1,53,2,2,0.142,0.267,1
1,ycup,1,54,3,2,0.142,0.322,1
1,ycup,1,52,4,2,0.162,0.308,1
1,ycup,1,51,5,2,0.196,0.287,1
1,ycup,1,50,6,2,0.196,0.318,1
1,ycup,1,58,7,2,0.198,0.095,1
1,ycup,1,55,8,2,0.144,0.02,1
1,ycup,1,57,9,2,0.164,0.085,1
1,ycup,1,59,10,2,0.178,0.105,1
1,ycup,1,60,11,2,0.184,0.045,1
1,ycup,1,56,12,2,0.144,0.045,1
1,ycup,1,31,13,2,0.069,0.17,1
1,ycup,1,34,14,2,0.049,0.211,1
1,ycup,1,35,15,2,0,0.17,1
1,ycup,1,32,16,2,0.055,0.15,1
1,ycup,1,33,17,2,0.069,0.2,1
1,ycup,1,36,18,2,0.014,0.126,1
1,ycup,1,87,19,2,0.336,0,1
1,ycup,1,90,20,2,0.322,0.045,1
1,ycup,1,89,21,2,0.336,0.079,1
1,ycup,1,88,22,2,0.356,0.045,1
1,ycup,1,86,23,2,0.356,0.065,1
1,ycup,1,85,24,2,0.37,0.085,1
1,ycup,1,114,25,2,0.455,0.136,1
1,ycup,2,49,1,2,0.269,0.281,2
1,ycup,2,53,2,2,0.215,0.296,2
1,ycup,2,54,3,2,0.215,0.35,2
1,ycup,2,52,4,2,0.235,0.336,2
1,ycup,2,51,5,2,0.269,0.316,2
1,ycup,2,50,6,2,0.269,0.346,2
1,ycup,2,21,7,2,0.02,0.415,2
1,ycup,2,24,8,2,0.034,0.435,2
1,ycup,2,23,9,2,0.055,0.395,2
1,ycup,2,22,10,2,0,0.374,2
1,ycup,2,19,11,2,0.02,0.36,2
1,ycup,2,20,12,2,0.055,0.36,2
1,ycup,2,33,13,2,0.142,0.198,2
1,ycup,2,36,14,2,0.121,0.239,2
1,ycup,2,34,15,2,0.073,0.198,2
1,ycup,2,31,16,2,0.128,0.178,2
1,ycup,2,35,17,2,0.142,0.229,2
1,ycup,2,32,18,2,0.087,0.154,2
1,ycup,2,27,19,2,0.071,0.014,2
1,ycup,2,30,20,2,0.051,0,2
1,ycup,2,28,21,2,0.051,0.055,2
1,ycup,2,26,22,2,0.016,0.034,2
1,ycup,2,25,23,2,0.085,0.034,2
1,ycup,2,29,24,2,0.051,0.034,2
1,ycup,3,114,1,2,0.225,0.366,3
1,ycup,3,113,2,2,0.225,0.401,3
1,ycup,3,111,3,2,0.204,0.356,3
1,ycup,3,109,4,2,0.259,0.431,3
1,ycup,3,110,5,2,0.204,0.381,3
1,ycup,3,112,6,2,0.19,0.401,3
1,ycup,3,90,7,2,0.105,0.231,3
1,ycup,3,87,8,2,0.091,0.275,3
1,ycup,3,89,9,2,0.105,0.31,3
1,ycup,3,88,10,2,0.126,0.275,3
1,ycup,3,86,11,2,0.126,0.296,3
1,ycup,3,85,12,2,0.14,0.316,3
1,ycup,3,78,13,2,0.055,0.14,3
1,ycup,3,74,14,2,0.055,0.17,3
1,ycup,3,73,15,2,0.055,0.105,3
1,ycup,3,77,16,2,0,0.119,3
1,ycup,3,75,17,2,0.04,0.119,3
1,ycup,3,76,18,2,0.034,0.18,3
1,ycup,3,100,19,2,0.196,0.085,3
1,ycup,3,97,20,2,0.217,0.01,3
1,ycup,3,101,21,2,0.162,0,3
1,ycup,3,102,22,2,0.162,0.079,3
1,ycup,3,98,23,2,0.217,0.045,3
1,ycup,3,99,24,2,0.202,0.024,3
1,ycup,4,49,1,2,0.354,0.281,4
1,ycup,4,53,2,2,0.3,0.296,4
1,ycup,4,54,3,2,0.32,0.336,4
1,ycup,4,52,4,2,0.354,0.316,4
1,ycup,4,51,5,2,0.354,0.346,4
1,ycup,4,50,6,2,0.32,0.316,4
1,ycup,4,35,7,2,0.227,0.198,4
1,ycup,4,31,8,2,0.206,0.239,4
1,ycup,4,34,9,2,0.158,0.198,4
1,ycup,4,32,10,2,0.213,0.178,4
1,ycup,4,33,11,2,0.227,0.229,4
1,ycup,4,36,12,2,0.172,0.154,4
1,ycup,4,24,13,2,0.105,0.415,4
1,ycup,4,23,14,2,0.119,0.435,4
