person,condition,trial,id,found,item_class,x,y,trial_p
1,conj_grid,1,12,1,1,0.333,0.353,1
1,conj_grid,1,5,2,1,0.337,0.133,1
1,conj_grid,1,9,3,1,0.359,0.213,1
1,conj_grid,1,10,4,2,0.462,0.255,1
1,conj_grid,1,13,5,2,0.454,0.336,1
1,conj_grid,1,18,6,1,0.24,0.589,1
1,conj_grid,1,22,7,1,0.026,0.711,1
1,conj_grid,1,23,8,2,0.227,0.694,1
1,conj_grid,1,24,9,1,0.579,0.695,1
1,conj_grid,1,21,10,1,0.696,0.594,1
1,conj_grid,1,19,11,1,0.464,0.587,1
1,conj_grid,1,17,12,2,0.123,0.576,1
1,conj_grid,1,20,13,2,0.57,0.569,1
1,conj_grid,1,16,14,2,0.693,0.482,1
1,conj_grid,1,1,15,2,0.131,0,1
1,conj_grid,1,3,16,2,0.012,0.132,1
1,conj_grid,1,4,17,1,0.236,0.129,1
1,conj_grid,1,6,18,2,0.471,0.124,1
1,conj_grid,1,7,19,1,0.58,0.106,1
1,conj_grid,1,2,20,1,0.7,0.02,1
1,conj_grid,1,15,21,2,0.226,0.474,1
1,conj_grid,1,11,22,2,0.589,0.226,1
1,conj_grid,1,14,23,1,0.109,0.475,1
1,conj_grid,1,8,24,2,0,0.241,1
1,conj_grid,2,2,1,1,0.25,0.016,2
1,conj_grid,2,6,2,2,0.228,0.121,2
1,conj_grid,2,11,3,1,0.237,0.249,2
1,conj_grid,2,14,4,1,0.239,0.349,2
1,conj_grid,2,20,5,1,0.228,0.574,2
1,conj_grid,2,19,6,1,0.115,0.557,2
1,conj_grid,2,15,7,1,0.13,0.472,2
1,conj_grid,2,18,8,2,0.028,0.58,2
1,conj_grid,2,13,9,2,0.016,0.343,2
1,conj_grid,2,9,10,2,0.016,0.244,2
1,conj_grid,2,1,11,2,0,0.015,2
1,conj_grid,2,3,12,2,0.349,0,2
1,conj_grid,2,4,13,2,0.467,0.006,2
1,conj_grid,2,7,14,2,0.352,0.121,2
1,conj_grid,2,5,15,1,0.708,0.001,2
1,conj_grid,2,8,16,2,0.681,0.097,2
1,conj_grid,2,17,17,1,0.713,0.475,2
1,conj_grid,2,10,18,1,0.121,0.243,2
1,conj_grid,2,24,19,2,0.448,0.715,2
1,conj_grid,2,23,20,2,0.37,0.683,2
1,conj_grid,2,22,21,1,0.137,0.721,2
1,conj_grid,2,12,22,2,0.587,0.226,2
1,conj_grid,2,16,23,1,0.468,0.462,2
1,conj_grid,2,21,24,1,0.465,0.564,2
1,conj_grid,3,17,1,1,0.023,0.471,3
1,conj_grid,3,4,2,2,0,0.136,3
1,conj_grid,3,10,3,2,0.011,0.243,3
1,conj_grid,3,20,4,1,0.117,0.58,3
1,conj_grid,3,22,5,1,0.223,0.701,3
1,conj_grid,3,24,6,2,0.683,0.706,3
1,conj_grid,3,23,7,1,0.457,0.704,3
1,conj_grid,3,11,8,1,0.135,0.243,3
1,conj_grid,3,12,9,1,0.357,0.233,3
1,conj_grid,3,6,10,2,0.247,0.12,3
1,conj_grid,3,1,11,2,0.228,0,3
1,conj_grid,3,5,12,2,0.134,0.135,3
1,conj_grid,3,7,13,1,0.357,0.128,3
1,conj_grid,3,9,14,2,0.598,0.119,3
1,conj_grid,3,15,15,2,0.604,0.361,3
1,conj_grid,3,13,16,2,0.475,0.26,3
1,conj_grid,3,14,17,2,0.452,0.363,3
1,conj_grid,3,18,18,2,0.357,0.479,3
1,conj_grid,3,16,19,1,0.711,0.359,3
1,conj_grid,3,19,20,1,0.456,0.463,3
1,conj_grid,3,3,21,1,0.592,0.026,3
1,conj_grid,3,2,22,1,0.368,0.009,3
1,conj_grid,3,21,23,2,0.122,0.692,3
1,conj_grid,3,8,24,1,0.478,0.14,3
1,conj_grid,4,12,1,1,0.118,0.36,4
1,conj_grid,4,10,2,1,0.353,0.239,4
1,conj_grid,4,11,3,1,0.465,0.247,4
1,conj_grid,4,4,4,2,0.471,0.015,4
1,conj_grid,4,8,5,2,0.684,0.122,4
1,conj_grid,4,15,6,2,0.006,0.471,4
1,conj_grid,4,1,7,1,0,0,4
1,conj_grid,4,5,8,2,0,0.138,4
1,conj_grid,4,6,9,1,0.111,0.131,4
1,conj_grid,4,3,10,2,0.348,0.029,4
1,conj_grid,4,7,11,1,0.573,0.13,4
1,conj_grid,4,14,12,1,0.698,0.38,4
1,conj_grid,4,17,13,1,0.675,0.461,4
1,conj_grid,4,19,14,2,0.44,0.584,4
1,conj_grid,4,23,15,2,0.492,0.69,4
1,conj_grid,4,9,16,2,0.235,0.228,4
1,conj_grid,4,13,17,2,0.227,0.371,4
1,conj_grid,4,16,18,2,0.116,0.473,4
1,conj_grid,4,18,19,2,0.004,0.575,4
1,conj_grid,4,22,20,1,0.354,0.683,4
1,conj_grid,4,24,21,1,0.574,0.689,4
1,conj_grid,4,20,22,1,0.681,0.59,4
1,conj_grid,4,2,23,1,0.128,0.001,4
1,conj_grid,4,21,24,2,0.125,0.685,4
1,conj_grid,5,8,1,1,0.691,0.12,5
1,conj_grid,5,21,2,1,0.699,0.589,5
1,conj_grid,5,23,3,2,0.224,0.711,5
1,conj_grid,5,24,4,2,0.471,0.694,5
1,conj_grid,5,22,5,2,0,0.683,5
1,conj_grid,5,9,6,2,0.106,0.25,5
1,conj_grid,5,5,7,2,0.109,0.141,5
1,conj_grid,5,4,8,2,0.006,0.122,5
1,conj_grid,5,6,9,1,0.218,0.119,5
1,conj_grid,5,1,10,2,0.245,0.02,5
1,conj_grid,5,2,11,1,0.465,0,5
1,conj_grid,5,7,12,2,0.564,0.125,5
1,conj_grid,5,3,13,1,0.575,0.022,5
1,conj_grid,5,11,14,1,0.699,0.243,5
1,conj_grid,5,14,15,1,0.452,0.338,5
1,conj_grid,5,16,16,2,0.351,0.465,5
1,conj_grid,5,15,17,2,0.234,0.453,5
1,conj_grid,5,13,18,1,0.238,0.356,5
1,conj_grid,5,17,19,2,0.575,0.468,5
1,conj_grid,5,20,20,1,0.576,0.574,5
1,conj_grid,5,18,21,1,0.115,0.589,5
1,conj_grid,5,10,22,1,0.224,0.227,5
1,conj_grid,5,19,23,2,0.338,0.586,5
1,conj_grid,5,12,24,1,0,0.355,5
1,conj_rot,6,13,1,1,0.639,0.567,1
1,conj_rot,6,19,2,1,0.474,0.73,1
1,conj_rot,6,11,3,1,0.799,0.561,1
1,conj_rot,6,10,4,2,0.724,0.489,1
1,conj_rot,6,5,5,2,0.889,0.477,1
1,conj_rot,6,9,6,2,0.64,0.401,1
1,conj_rot,6,3,7,1,0.633,0.248,1
1,conj_rot,6,4,8,1,0.809,0.394,1
1,conj_rot,6,8,9,2,0.558,0.308,1
1,conj_rot,6,1,10,2,0.392,0,1
1,conj_rot,6,20,11,2,0,0.418,1
1,conj_rot,6,22,12,1,0,0.556,1
1,conj_rot,6,17,13,1,0.175,0.409,1
1,conj_rot,6,16,14,1,0.095,0.322,1
1,conj_rot,6,14,15,1,0.219,0.349,1
1,conj_rot,6,23,16,2,0.148,0.733,1
1,conj_rot,6,24,17,2,0.308,0.896,1
1,conj_rot,6,7,18,2,0.397,0.167,1
1,conj_rot,6,15,19,1,0.386,0.494,1
1,conj_rot,6,18,20,1,0.394,0.655,1
1,conj_rot,6,6,21,2,0.344,0.075,1
1,conj_rot,6,12,22,2,0.336,0.243,1
1,conj_rot,6,21,23,2,0.169,0.562,1
1,conj_rot,6,2,24,1,0.474,0.102,1
1,conj_rot,7,6,1,1,0.62,0.42,2
1,conj_rot,7,7,2,2,0.804,0.58,2
1,conj_rot,7,15,3,1,0.639,0.75,2
1,conj_rot,7,12,4,1,0.635,0.601,2
1,conj_rot,7,17,5,1,0.559,0.824,2
1,conj_rot,7,22,6,2,0.138,0.74,2
1,conj_rot,7,21,7,2,0.058,0.652,2
1,conj_rot,7,20,8,2,0,0.594,2
1,conj_rot,7,8,9,1,0.248,0.179,2
1,conj_rot,7,13,10,1,0.228,0.336,2
