person,condition,trial,id,found,item_class,x,y,trial_p
1,conj_grid,5,9,12,1,0.491,0.236,5
1,conj_grid,5,23,13,2,0.156,0.689,5
1,conj_grid,5,24,14,2,0.374,0.684,5
1,conj_grid,5,15,15,2,0.039,0.478,5
1,conj_grid,5,21,16,2,0.573,0.58,5
1,conj_grid,5,17,17,2,0.289,0.46,5
1,conj_grid,5,6,18,2,0.063,0.236,5
1,conj_grid,5,10,19,2,0.672,0.245,5
1,conj_grid,5,1,20,2,0.059,0.019,5
1,conj_grid,5,2,21,2,0.153,0.023,5
1,conj_grid,5,4,22,2,0.483,0.137,5
1,conj_grid,5,5,23,2,0.611,0.114,5
1,conj_grid,5,3,24,2,0.599,0,5
1,conj_grid,6,19,1,1,0.014,0.651,6
1,conj_grid,6,21,2,1,0.372,0.704,6
1,conj_grid,6,12,3,1,0,0.364,6
1,conj_grid,6,14,4,1,0.243,0.453,6
1,conj_grid,6,11,5,1,0.464,0.237,6
1,conj_grid,6,6,6,1,0.031,0.143,6
1,conj_grid,6,7,7,1,0.248,0.118,6
1,conj_grid,6,8,8,1,0.357,0.131,6
1,conj_grid,6,1,9,1,0.024,0,6
1,conj_grid,6,3,10,1,0.256,0.042,6
1,conj_grid,6,4,11,1,0.578,0.016,6
1,conj_grid,6,9,12,1,0.573,0.089,6
1,conj_grid,6,20,13,2,0.249,0.699,6
1,conj_grid,6,22,14,2,0.468,0.677,6
1,conj_grid,6,23,15,2,0.611,0.711,6
1,conj_grid,6,24,16,2,0.68,0.665,6
1,conj_grid,6,18,17,2,0.611,0.606,6
1,conj_grid,6,17,18,2,0.472,0.593,6
1,conj_grid,6,16,19,2,0.16,0.566,6
1,conj_grid,6,13,20,2,0.009,0.494,6
1,conj_grid,6,15,21,2,0.468,0.481,6
1,conj_grid,6,10,22,2,0.378,0.242,6
1,conj_grid,6,2,23,2,0.135,0.037,6
1,conj_grid,6,5,24,2,0.685,0.011,6
1,conj_rot,7,20,1,1,0.21,0.559,1
1,conj_rot,7,19,2,1,0.479,0.641,1
1,conj_rot,7,18,3,1,0.38,0.551,1
1,conj_rot,7,15,4,1,0.618,0.607,1
1,conj_rot,7,16,5,1,0.7,0.705,1
1,conj_rot,7,10,6,1,0.712,0.554,1
1,conj_rot,7,5,7,1,0.915,0.491,1
1,conj_rot,7,21,8,1,0,0.462,1
1,conj_rot,7,12,9,1,0.229,0.23,1
1,conj_rot,7,3,10,1,0.696,0.239,1
1,conj_rot,7,4,11,1,0.796,0.325,1
1,conj_rot,7,6,12,1,0.379,0.09,1
1,conj_rot,7,24,13,2,0.401,0.874,1
1,conj_rot,7,23,14,2,0.305,0.799,1
1,conj_rot,7,22,15,2,0.243,0.687,1
1,conj_rot,7,11,16,2,0.795,0.646,1
1,conj_rot,7,8,17,2,0.844,0.584,1
1,conj_rot,7,17,18,2,0.305,0.471,1
1,conj_rot,7,14,19,2,0.497,0.462,1
1,conj_rot,7,13,20,2,0.302,0.305,1
1,conj_rot,7,9,21,2,0.542,0.378,1
1,conj_rot,7,7,22,2,0.726,0.4,1
1,conj_rot,7,1,23,2,0.467,0,1
1,conj_rot,7,2,24,2,0.55,0.055,1
1,conj_rot,8,23,1,1,0.289,0.79,2
1,conj_rot,8,24,2,1,0.395,0.876,2
1,conj_rot,8,20,3,1,0.446,0.777,2
1,conj_rot,8,17,4,1,0.475,0.635,2
1,conj_rot,8,11,5,1,0.665,0.551,2
1,conj_rot,8,12,6,1,0.774,0.66,2
1,conj_rot,8,18,7,1,0.115,0.478,2
1,conj_rot,8,21,8,1,0,0.502,2
1,conj_rot,8,7,9,1,0.582,0.307,2
1,conj_rot,8,3,10,1,0.835,0.393,2
1,conj_rot,8,5,11,1,0.401,0.072,2
1,conj_rot,8,13,12,1,0.218,0.223,2
1,conj_rot,8,22,13,2,0.054,0.545,2
1,conj_rot,8,19,14,2,0.223,0.546,2
1,conj_rot,8,16,15,2,0.376,0.555,2
1,conj_rot,8,10,16,2,0.617,0.472,2
1,conj_rot,8,8,17,2,0.762,0.473,2
1,conj_rot,8,4,18,2,0.901,0.442,2
1,conj_rot,8,14,19,2,0.095,0.332,2
1,conj_rot,8,15,20,2,0.206,0.388,2
1,conj_rot,8,9,21,2,0.466,0.328,2
1,conj_rot,8,2,22,2,0.552,0.098,2
1,conj_rot,8,6,23,2,0.538,0.207,2
1,conj_rot,8,1,24,2,0.459,0,2
1,conj_rot,9,24,1,1,0.475,0.896,3
1,conj_rot,9,23,2,1,0.268,0.747,3
1,conj_rot,9,20,3,1,0.38,0.679,3
1,conj_rot,9,21,4,1,0.511,0.762,3
1,conj_rot,9,22,5,1,0,0.433,3
1,conj_rot,9,15,6,1,0.543,0.539,3
1,conj_rot,9,14,7,1,0.47,0.467,3
1,conj_rot,9,17,8,1,0.319,0.424,3
1,conj_rot,9,13,9,1,0.399,0.362,3
1,conj_rot,9,8,10,1,0.472,0.318,3
1,conj_rot,9,11,11,1,0.805,0.601,3
1,conj_rot,9,3,12,1,0.948,0.425,3
1,conj_rot,9,18,13,2,0.644,0.765,3
1,conj_rot,9,19,14,2,0.184,0.434,3
1,conj_rot,9,10,15,2,0.639,0.446,3
